company,valuation,dateJoined,yearJoined,country,city,longitude,latitude,industry,investor_1,investor_2,investor_3,investor_4
ByteDance,140,04/07/2017,2017,China,Beijing,116.40739500,39.90421100,AI & Cybersecurity,Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group
SpaceX,127,12/01/2012,2012,United States,Hawthorne,-118.35257480,33.91640320,Other,Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures,
SHEIN,100,07/03/2018,2018,China,Shenzhen,114.05956000,22.54285990,"Consumer, retail & ecommerce",Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners,
Canva,40,01/08/2018,2018,Australia,Surry Hills,151.21227030,-33.88677580,"Internet, mobile & telecommunications",Sequoia Capital China, Blackbird Ventures, Matrix Partners,
Checkout.com,40,05/02/2019,2019,United Kingdom,London,-0.12758620,51.50721780,Fintech & data management,Tiger Global Management, Insight Partners, DST Global,
Databricks,38,02/05/2019,2019,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Andreessen Horowitz, New Enterprise Associates, Battery Ventures,
Fanatics,27,06/06/2012,2012,United States,Jacksonville,-81.65565100,30.33218380,Other,SoftBank Group, Andreessen Horowitz, Temasek Holdings,
Chime,25,03/05/2019,2019,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Forerunner Ventures, Crosslink Capital, Homebrew,
Miro,17.5,01/05/2022,2022,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Accel, AltaIR Capital, Technology Crossover Ventures,
Yuanqi Senlin,15,03/01/2020,2020,China,Beijing,116.40739500,39.90421100,"Consumer, retail & ecommerce",Sequoia Capital China, Longfor Capitalm, Gaorong Capital,
Plaid,13.5,12/11/2018,2018,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,New Enterprise Associates, Spar Capital, Index Ventures,
Grammarly,13,10/10/2019,2019,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",General Catalyst, Institutional Venture Partners, Breyer Capital,
Brex,12.3,10/05/2018,2018,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,DST Global, Ribbit Capital, Greenoaks Capital Management,
Biosplice Therapeutics,12,08/06/2018,2018,United States,San Diego,-117.16108380,32.71573800,Health,Vickers Venture Partners, IKEA GreenTech,,
ZongMu Technology,11.4,06/03/2021,2021,China,Shanghai,121.47370100,31.23041600,"Auto, Transport & Travel",LTW Capital, Legend Capital, Qualcomm Ventures,
Rippling,11.25,08/04/2020,2020,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers,
Bolt,11,10/08/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Activant Capital, Tribe Capital, General Atlantic,
Weilong,10.88,05/08/2021,2021,China,Luohe,114.01681000,33.58148990,"Consumer, retail & ecommerce",Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital,
Chehaoduo,10,03/12/2016,2016,China,Beijing,116.40739500,39.90421100,"Consumer, retail & ecommerce",Sequoia Capital China, GX Capital,,
Talkdesk,10,10/03/2018,2018,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",DJF, Salesforce Ventures, Storm Ventures,
Notion Labs,10,04/01/2020,2020,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Index Ventures, Draft Ventures, Felicis Ventures,
Digital Currency Group,10,11/01/2021,2021,United States,New York,-74.00597280,40.71277530,Fintech & data management,Ribbit Capital, capitalG, Softbank Group,
OutSystems,9.5,06/05/2018,2018,United States,Boston,-71.05888010,42.36008250,"Internet, mobile & telecommunications",KKR, ES Ventures, North Bridge Growth Equity,
HEYTEA,9.28,07/01/2019,2019,China,Shenzhen,114.05956000,22.54285990,Other,Sequoia Capital China, Tencent Investment, BA Capital,
N26,9.23,01/10/2019,2019,Germany,Berlin,13.40495400,52.52000660,Fintech & data management,Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures,
Northvolt,9.08,06/12/2019,2019,Sweden,Stockholm,18.06858080,59.32932350,Other,Vattenfall, Volkswagen Group, Goldman Sachs,
Rapyd,8.75,12/03/2019,2019,United Kingdom,London,-0.12758620,51.50721780,Fintech & data management,Target Global, General Catalyst, Durable Capital Partners,
Kavak,8.7,10/01/2020,2020,Mexico,Lerma de Villada,-99.51173910,19.28958650,"Consumer, retail & ecommerce",DST Global, SoftBank Group, Mountain Nazca,
Nuro,8.6,02/11/2019,2019,United States,Mountain View,-122.08385110,37.38605170,"Auto, Transport & Travel",SoftBank Group, Greylock Partners, Gaorong Capital,
Pony.ai,8.5,07/11/2018,2018,United States,Fremont,-121.98858300,37.54853960,AI & Cybersecurity,Sequoia Capital China, IDG Capital, DCM Ventures,
Lacework,8.3,01/07/2021,2021,United States,San Jose,-121.88525250,37.33874000,AI & Cybersecurity,Sutter Hill Ventures, Liberty Global Ventures, Coatue Management,
Tipalti,8.3,10/06/2020,2020,United States,San Mateo,-122.32552540,37.56299170,Fintech & data management,01 Advisors, Zeev Ventures, Group 11,
Dream11,8,04/09/2019,2019,India,Mumbai,72.87765590,19.07598370,"Internet, mobile & telecommunications",Kaalari Capital, Tencent Holdings, Steadview Capital,
FalconX,8,08/10/2021,2021,United States,San Mateo,-122.32552540,37.56299170,Fintech & data management,Tiger Global Management, American Express Ventures, B Capital Group,
Caris Life Sciences,7.83,05/12/2021,2021,United States,Irving,-96.94889450,32.81401770,Health,Sixth Street Partners, OrbiMed Advisors, Highland Capital Management,
Hopin,7.75,11/10/2020,2020,United Kingdom,London,-0.12758620,51.50721780,"Internet, mobile & telecommunications",Accel, Northzone Ventures, Institutional Venture Partners,
Razorpay,7.5,10/11/2020,2020,India,Bengaluru,77.59456270,12.97159870,Fintech & data management,Sequoia Capital India, Tiger Global Management, Matrix Partners India,
Carta,7.4,05/06/2019,2019,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Menlo Ventures, Spark Capital, Union Square Ventures,
Scale AI,7.3,08/05/2019,2019,United States,San Francisco,-122.41941550,37.77492950,AI & Cybersecurity,Accel, Y Combinator, Index Ventures,
